randomPaw,allowableKey,correctKey,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,date,frameRate,expName,session,participant,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,0,0,0,2,0,"['4', '3']",0,"[0.0005600452423095703, 0.9012830257415771]",2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,0,1,1,3,1,['4'],0,[0.48607802391052246],2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,0,2,2,0,1,['1'],0,[0.3704540729522705],2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,0,3,3,1,1,['2'],0,[0.4024779796600342],2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,1,0,4,2,1,['3'],0,[0.27172303199768066],2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,1,1,5,1,1,['2'],0,[0.4392099380493164],2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,1,2,6,3,1,['4'],0,[0.322145938873291],2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,1,3,7,0,1,['1'],0,[0.3065149784088135],2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,2,0,8,3,0,"['3', '4']",0,"[0.2030620574951172, 0.5216281414031982]",2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,2,1,9,0,1,['1'],0,[0.3869640827178955],2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,2,2,10,1,1,['2'],0,[0.369600772857666],2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,2,3,11,2,0,"['2', '3']",0,"[0.0003829002380371094, 0.2920820713043213]",2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,3,0,12,0,1,['1'],0,[0.3427767753601074],2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,3,1,13,3,1,['4'],0,[0.22566604614257812],2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,3,2,14,2,1,['3'],0,[0.2923910617828369],2018_Feb_21_1600,60.0535775392,sequenceLearningTask,001,001pilot,
