pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,randomPaw,allowableKey,correctKey,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,"['3', '4']",0,"[0.22007203102111816, 0.45523715019226074]",,,,,,,,,,,,,,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,1,0,1,0,,,,,,,,,1,['4'],0,[0.3511168956756592],,,,,,,,,,,,,,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,2,0,2,0,,,,,,,,,1,['4'],0,[0.0004000663757324219],,,,,,,,,,,,,,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,3,0,3,0,,,,,,,,,1,['4'],0,[0.3878960609436035],,,,,,,,,,,,,,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,4,0,4,0,,,,,,,,,1,['4'],0,[0.1452779769897461],,,,,,,,,,,,,,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,5,0,5,0,,,,,,,,,0,"['3', '4']",0,"[0.02973794937133789, 0.5998620986938477]",,,,,,,,,,,,,,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,6,0,6,0,,,,,,,,,0,"['3', '4']",0,"[0.1909198760986328, 0.5239219665527344]",,,,,,,,,,,,,,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,7,0,7,0,,,,,,,,,0,"['3', '4']",0,"[0.25893497467041016, 0.5277941226959229]",,,,,,,,,,,,,,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,8,0,8,0,,,,,,,,,1,['4'],0,[0.2766609191894531],,,,,,,,,,,,,,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,9,0,9,0,,,,,,,,,0,"['3', '4']",0,"[0.29872918128967285, 0.5005509853363037]",,,,,,,,,,,,,,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,['1'],0,[0.7708311080932617],['3'],0,[0.07747817039489746],['1'],0,[0.27396106719970703],['2'],0,[0.0003590583801269531],,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,['1'],0,[0.2963278293609619],['3'],0,[0.4130580425262451],['2'],0,[0.1985180377960205],['1'],0,[0.08053398132324219],,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,"['1', '1']",0,[0.0003662109375],"['1', '1', '1']",0,[0.0027489662170410156],"['1', '1', '1']",0,[0.0007328987121582031],"['1', '1', '1']",0,[0.0003159046173095703],,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,"['1', '1', '1']",0,[0.0021119117736816406],"['1', '1', '1']",0,[0.0007889270782470703],"['1', '1']",0,[0.0003521442413330078],"['1', '1', '1']",0,[0.00074005126953125],,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,"['1', '1', '1']",0,[0.0023620128631591797],['1'],0,[0.0006539821624755859],['1'],0,[0.4187650680541992],['1'],0,[0.2852799892425537],,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,['1'],0,[0.0024499893188476562],"['1', '1', '1']",0,[0.0004551410675048828],"['1', '1', '1']",0,[0.0022618770599365234],"['1', '1']",0,[0.00039196014404296875],,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,"['1', '1', '1']",0,[0.0010280609130859375],"['1', '1']",0,[0.0006890296936035156],"['1', '1']",0,[0.0003509521484375],"['1', '1', '1']",0,[0.0004551410675048828],,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,"['1', '1']",0,[0.0012328624725341797],"['1', '1']",0,[0.0005788803100585938],"['1', '1']",0,[0.0004639625549316406],"['1', '1']",0,[0.001132965087890625],,,2018_Feb_21_1419,None,sequenceLearningTask,001,999,
