randomPaw,allowableKey,correctKey,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,date,frameRate,expName,session,participant,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,0,0,0,3,,,,,,,,,1,['4'],0,[0.00026702880859375],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,0,1,1,1,,,,,,,,,0,"['3', '2']",0,"[0.40749311447143555, 0.5241670608520508]",,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,0,2,2,2,,,,,,,,,1,['3'],0,[0.3357529640197754],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,0,3,3,0,,,,,,,,,1,['1'],0,[0.3028218746185303],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,1,0,4,3,,,,,,,,,1,['4'],0,[0.3357551097869873],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,1,1,5,1,,,,,,,,,1,['2'],0,[0.30307793617248535],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,1,2,6,2,,,,,,,,,1,['3'],0,[0.20330190658569336],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,1,3,7,0,,,,,,,,,1,['1'],0,[0.4029059410095215],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,2,0,8,1,,,,,,,,,1,['2'],0,[0.3363168239593506],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,2,1,9,3,,,,,,,,,0,"['3', '4']",0,"[0.21999883651733398, 0.5191528797149658]",,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
