randomPaw,allowableKey,correctKey,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,date,frameRate,expName,session,participant,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,0,0,0,3,,,,,,,,,1,['4'],0,[0.3961181640625],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,0,1,1,2,,,,,,,,,1,['3'],0,[0.36151885986328125],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,0,2,2,0,,,,,,,,,1,['1'],0,[0.3515920639038086],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,0,3,3,1,,,,,,,,,1,['2'],0,[0.19141507148742676],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,1,0,4,2,,,,,,,,,1,['3'],0,[0.2192680835723877],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,1,1,5,0,,,,,,,,,1,['1'],0,[0.3375129699707031],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,1,2,6,3,,,,,,,,,1,['4'],0,[0.22033905982971191],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,1,3,7,1,,,,,,,,,1,['2'],0,[0.2700169086456299],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,2,0,8,3,,,,,,,,,1,['4'],0,[0.5201029777526855],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,2,1,9,2,,,,,,,,,1,['3'],0,[0.33655810356140137],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,2,2,10,1,,,,,,,,,1,['2'],0,[0.3640909194946289],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,2,3,11,0,,,,,,,,,1,['1'],0,[0.20235896110534668],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,3,0,12,1,,,,,,,,,1,['2'],0,[0.3693251609802246],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,3,1,13,2,,,,,,,,,1,['3'],0,[0.35150694847106934],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,3,2,14,3,,,,,,,,,1,['4'],0,[0.33673977851867676],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,3,3,15,0,,,,,,,,,1,['1'],0,[0.23639297485351562],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,4,0,16,0,,,,,,,,,1,['1'],0,[0.43664979934692383],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,4,1,17,2,,,,,,,,,1,['3'],0,[0.28513503074645996],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,4,2,18,1,,,,,,,,,1,['2'],0,[0.2368459701538086],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,4,3,19,3,,,,,,,,,1,['4'],0,[0.17099618911743164],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,5,0,20,1,,,,,,,,,0,"['1', '2']",0,"[0.23672008514404297, 0.5530800819396973]",2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,5,1,21,0,,,,,,,,,1,['1'],0,[0.3692131042480469],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,5,2,22,2,,,,,,,,,0,"['4', '3']",0,"[0.2531909942626953, 0.41942286491394043]",2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,5,3,23,3,,,,,,,,,1,['4'],0,[0.29245805740356445],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,6,0,24,2,,,,,,,,,1,['3'],0,[0.30304694175720215],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
