randomPaw,allowableKey,correctKey,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,date,frameRate,expName,session,participant,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,0,0,0,1,0,"['2', '3', '4']",0,"[0.5190768241882324, 0.985605001449585, 1.584744930267334]",2018_Feb_20_1901,59.7325191083,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,0,1,1,2,1,['4'],0,[0.35278892517089844],2018_Feb_20_1901,59.7325191083,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,0,2,2,0,0,"['3', '4']",0,"[0.20219707489013672, 0.4362311363220215]",2018_Feb_20_1901,59.7325191083,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,0,3,3,3,1,['4'],0,[0.3028080463409424],2018_Feb_20_1901,59.7325191083,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,1,0,4,3,0,"['3', '4']",0,"[0.2521979808807373, 0.519385814666748]",2018_Feb_20_1901,59.7325191083,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,1,1,5,1,0,"['1', '2', '3', '4']",0,"[16.719624996185303, 16.885982990264893, 17.002964973449707, 17.252583980560303]",2018_Feb_20_1901,59.7325191083,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,1,2,6,2,0,"['3', '4']",0,"[0.1524190902709961, 0.46979713439941406]",2018_Feb_20_1901,59.7325191083,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,1,3,7,0,1,['4'],0,[0.28539609909057617],2018_Feb_20_1901,59.7325191083,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,2,0,8,3,1,['4'],0,[0.5186419486999512],2018_Feb_20_1901,59.7325191083,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,2,1,9,1,0,"['3', '4']",0,"[0.16926908493041992, 0.3861100673675537]",2018_Feb_20_1901,59.7325191083,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,2,2,10,0,1,['4'],0,[0.3358149528503418],2018_Feb_20_1901,59.7325191083,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,2,3,11,2,1,['4'],0,[0.2365109920501709],2018_Feb_20_1901,59.7325191083,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,3,0,12,1,1,['4'],0,[0.43607592582702637],2018_Feb_20_1901,59.7325191083,sequenceLearningTask,001,999,
