pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trialCorrect,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,0,0,0,0,,,,,1,['1'],0,[0.4512519836425781],['3'],0,[0.24991106986999512],['2'],0,[0.1852121353149414],['4'],0,[0.2360851764678955],['4'],0,[0.335986852645874],['2'],0,[0.3195369243621826],['3'],0,[0.21959900856018066],['4'],0,[0.16699910163879395],['2'],0,[0.2378370761871338],['4'],0,[0.3370180130004883],,,,2018_Mar_02_1126,59.9549441376,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,1,0,1,0,,,,,1,['1'],0,[0.3541679382324219],['3'],0,[0.2210559844970703],['2'],0,[0.1221928596496582],['4'],0,[0.13777589797973633],"['1', '4']",0,"[0.22130298614501953, 0.4714028835296631]",['2'],0,[0.31981492042541504],['3'],0,[0.20212888717651367],['4'],0,[0.1857011318206787],"['1', '2']",0,"[0.21722698211669922, 0.45345497131347656]",['4'],0,[0.3689870834350586],,,,2018_Mar_02_1126,59.9549441376,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,2,0,2,0,,,,,1,['1'],0,[0.3191099166870117],['3'],0,[0.20871400833129883],['2'],0,[0.12597107887268066],['4'],0,[0.11988186836242676],"['1', '3', '4']",0,"[0.07536792755126953, 0.37392282485961914, 0.4100949764251709]","['4', '3', '2']",0,"[0.36002588272094727, 0.5759940147399902, 1.1264839172363281]","['2', '3']",0,"[0.4435899257659912, 0.7773170471191406]",['4'],0,[6.497353792190552],['2'],0,[0.38075995445251465],['4'],0,[0.34769296646118164],,,,2018_Mar_02_1126,59.9549441376,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,3,0,3,0,,,,,0,['1'],0,[0.32824015617370605],['3'],0,[0.18042612075805664],['2'],0,[0.18088197708129883],['4'],0,[0.09757804870605469],['4'],0,[0.06382298469543457],['2'],0,[0.0021598339080810547],['3'],0,[0.0003418922424316406],"['1', '4', '4', '2', '4']",0,"[0.000347137451171875, 0.11942005157470703, 0.5196990966796875]",['2'],0,[0.25132203102111816],"['3', '4']",0,"[0.08611607551574707, 0.3674890995025635]",,,,2018_Mar_02_1126,59.9549441376,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,4,0,4,0,,,,,0,['1'],0,[0.20313310623168945],['3'],0,[0.03682994842529297],['2'],0,[0.03749895095825195],['4'],0,[0.003062009811401367],['4'],0,[0.0030329227447509766],['2'],0,[0.003032207489013672],['3'],0,[0.00035309791564941406],['4'],0,[0.3210899829864502],['2'],0,[0.2716841697692871],"['3', '4']",0,"[0.0003311634063720703, 0.21493911743164062]",,,,2018_Mar_02_1126,59.9549441376,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,5,0,5,0,,,,,0,['1'],0,[0.0004189014434814453],"['3', '2', '4', '3']",0,"[0.0003559589385986328, 0.1726229190826416, 0.5894730091094971]",['2'],0,[0.23486089706420898],"['4', '4', '4']",0,"[0.0003230571746826172, 0.5012109279632568]",['4'],0,[0.2530689239501953],['2'],0,[0.23636412620544434],['3'],0,[0.1360001564025879],['4'],0,[0.06927609443664551],"['4', '2']",0,"[0.10248899459838867, 0.5417969226837158]","['3', '4']",0,"[0.10187387466430664, 0.3418538570404053]",,,,2018_Mar_02_1126,59.9549441376,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,6,0,6,0,,,,,1,['1'],0,[0.242933988571167],['3'],0,[0.0003428459167480469],"['2', '4', '2']",0,"[0.00034499168395996094, 0.5605580806732178]","['1', '3', '4', '4']",0,"[0.0003459453582763672, 0.36163783073425293]",['4'],0,[0.29437685012817383],"['4', '2']",0,"[0.21135616302490234, 0.5783541202545166]",['3'],0,[0.5121970176696777],"['3', '4']",0,"[0.9282140731811523, 1.3798811435699463]",['2'],0,[1.662254810333252],['4'],0,[1.2646780014038086],,,,2018_Mar_02_1126,59.9549441376,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,7,0,7,0,,,,,1,['1'],0,[0.37978601455688477],['3'],0,[0.09455609321594238],['2'],0,[0.09463286399841309],['4'],0,[0.09769701957702637],['4'],0,[0.13608813285827637],['2'],0,[0.1633620262145996],"['4', '3']",0,"[0.10170984268188477, 0.4194040298461914]","['1', '4']",0,"[0.10281205177307129, 0.3852880001068115]","['1', '2']",0,"[0.2502768039703369, 0.48592591285705566]",['4'],0,[0.3685770034790039],,,,2018_Mar_02_1126,59.9549441376,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,8,0,8,0,,,,,1,['1'],0,[0.38647913932800293],['3'],0,[0.1036839485168457],['2'],0,[0.11900591850280762],['4'],0,[0.07044315338134766],['4'],0,[0.20360112190246582],['2'],0,[0.23472809791564941],['3'],0,[0.2713279724121094],['4'],0,[0.20241594314575195],['2'],0,[0.37144899368286133],['4'],0,[0.33611607551574707],,,,2018_Mar_02_1126,59.9549441376,sequenceLearningTask,001,999,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,9,0,9,0,,,,,0,['1'],0,[0.2178330421447754],['3'],0,[0.13372302055358887],['2'],0,[0.13544893264770508],['4'],0,[0.018880128860473633],['4'],0,[0.06818318367004395],['2'],0,[0.2365419864654541],['3'],0,[0.052451133728027344],['4'],0,[0.16969013214111328],['2'],0,[0.30296921730041504],"['3', '4']",0,"[0.12517499923706055, 0.40928196907043457]",,,,2018_Mar_02_1126,59.9549441376,sequenceLearningTask,001,999,
