pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,randomPaw,correctKeyPress,allowableKey,correctKey,correctKeyPressNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,keyRespCorrect,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,0,0,0,,,,,,,,,['num_7'],1,0.0606613582204,1,['num_7'],0,[0.8282366474886658],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,0,0,0,,,,,,,,,['num_1'],1,0.0621124357422,0,"['num_4', 'num_1']",0,"[0.5486964302399429, 1.2170696275134105]",,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,0,0,0,,,,,,,,,['num_4'],1,0.0580332545796,1,['num_4'],0,[0.7025955702847568],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,0,0,0,,,,,,,,,['num_0'],1,0.0547315096192,0,"['num_1', 'num_0']",0,"[0.6403961601608898, 1.7566255411802558]",,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,0,0,0,,,,,,,,,['num_0'],1,0.0515261749824,1,['num_0'],0,[0.8098871014954057],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,0,0,0,,,,,,,,,['num_4'],1,0.0559725357889,1,['num_4'],0,[1.4057404741615755],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,0,0,0,,,,,,,,,['num_1'],1,0.0514515082905,0,"['num_4', 'num_1']",0,"[0.7608917993493378, 1.1948845927690854]",,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,0,0,0,,,,,,,,,['num_0'],1,0.0530502781767,1,['num_0'],0,[0.8423736789263785],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,1,1,1,,,,,,,,,['num_7'],2,0.0476020708156,1,['num_7'],0,[0.6954780289088376],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,1,1,1,,,,,,,,,['num_1'],2,0.0496402254939,1,['num_1'],0,[1.094942808180349],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,1,1,1,,,,,,,,,['num_4'],2,0.0508660721534,1,['num_4'],0,[0.8940446744818473],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,1,1,1,,,,,,,,,['num_0'],2,0.0608935634373,1,['num_0'],0,[0.6165216888184659],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,1,1,1,,,,,,,,,['num_0'],2,0.0541706888907,1,['num_0'],0,[0.7232179377315333],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,1,1,1,,,,,,,,,['num_4'],2,0.0555967407563,0,"['num_1', 'num_4']",0,"[0.822000747488346, 3.2214171164814616]",,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,1,1,1,,,,,,,,,['num_1'],2,0.0541899709497,1,['num_1'],0,[1.0906806525890715],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,1,1,1,,,,,,,,,['num_0'],2,0.0533977654995,1,['num_0'],0,[0.8917386222456116],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,2,2,2,,,,,,,,,['num_7'],3,0.0520361239178,1,['num_7'],0,[1.0416517093981383],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,2,2,2,,,,,,,,,['num_1'],3,0.0586334599502,1,['num_1'],0,[1.1692952489538584],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,2,2,2,,,,,,,,,['num_4'],3,0.0612529482023,1,['num_4'],0,[1.3509310157678556],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,2,2,2,,,,,,,,,['num_0'],3,0.052114893173,1,['num_0'],0,[0.7920405300683342],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,2,2,2,,,,,,,,,['num_0'],3,0.0520037136448,1,['num_0'],0,[0.6767432519991416],,2018_Apr_04_1439,60.0521560914,sequenceLearningTask,001,061,
