pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,correctLocation,correctImage,repetitionNumber,stimulusPresent.t,responseTimeCorrect,pressLoc,responseTimeIncorrect,trialIncorrect,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(-0.75, -0.04)",images/min1.png,1,0.0410079831763,0.636969584832,[-0.22693997 -0.58072917],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.25, -0.04)",images/min3.png,1,0.068651869271,0.486727184933,[-0.64860908 -0.0703125 ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(-0.25, -0.04)",images/min2.png,1,0.059534744807,0.442137664764,[ 0.25183016 -0.08854167],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,0.0680803823252,0.606180674387,[-0.238653 -0.28125 ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,0.0554284900809,0.598610626212,[ 0.77891654  0.00260417],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(-0.25, -0.04)",images/min2.png,1,0.0622182308853,0.476428522492,[ 0.6954612  -0.04427083],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.25, -0.04)",images/min3.png,1,0.0570108484062,0.549806953926,[-0.24158126 -0.0546875 ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,0.0610727954572,0.528179885874,[ 0.2489019   0.04427083],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(-0.75, -0.04)",images/min1.png,2,0.0582543350738,0.624242615695,[ 0.72327965 -0.0546875 ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(0.25, -0.04)",images/min3.png,2,0.0559052078333,0.433336437605,[-0.74816984 -0.18489583],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(-0.25, -0.04)",images/min2.png,2,0.0579372070006,0.481059905207,[ 0.21522694 -0.11979167],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(0.75, -0.04)",images/min4.png,2,0.0521267478453,0.503452921661,[-0.21229868 -0.1640625 ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
