pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,correctLocation,correctImage,repetitionNumber,stimulusPresent.t,responseTimeCorrect,pressLoc,responseTimeIncorrect,trialIncorrect,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(-0.75, -0.04)",images/min1.png,1,0.0256471689645,0.858453391404,[ 0.27232796 -0.23177083],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.25, -0.04)",images/min3.png,1,0.0999326769524,0.637234200109,[-0.73792094 -0.03645833],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(-0.25, -0.04)",images/min2.png,1,0.0305078849196,0.747327283148,[ 0.17569546 -0.0703125 ],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,0.0611733082369,0.63096917704,[-0.25329429 -0.14322917],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,0.0755326869621,0.882999432615,[ 0.7057101 -0.09375  ],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(-0.25, -0.04)",images/min2.png,1,0.0544738238059,0.837287041111,[ 0.71156662 -0.36458333],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.25, -0.04)",images/min3.png,1,0.0523827477409,0.726535496804,[-0.19326501 -0.13020833],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,0.0622325898512,0.628985177849,[ 0.18887262 -0.08854167],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(-0.75, -0.04)",images/min1.png,2,0.0252902460343,0.64892896454,[ 0.761347   -0.08072917],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(0.25, -0.04)",images/min3.png,2,0.0517698249168,0.605709700223,[-0.80527086 -0.17447917],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(-0.25, -0.04)",images/min2.png,2,0.0594383345888,0.630870305282,[ 0.26647145 -0.1640625 ],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(0.75, -0.04)",images/min4.png,2,0.0522198760118,0.606060879563,[-0.25768668 -0.1328125 ],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(0.75, -0.04)",images/min4.png,2,0.046828698738,0.62829881916,[ 0.76427526 -0.24739583],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(-0.25, -0.04)",images/min2.png,2,0.0511523892674,0.623623128769,[ 0.73206442 -0.31510417],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(0.25, -0.04)",images/min3.png,2,0.0510686969974,0.569863971337,[-0.22986823 -0.25260417],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,"(0.75, -0.04)",images/min4.png,2,0.0424426492536,0.612108466827,[ 0.30161054 -0.140625  ],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,"(-0.75, -0.04)",images/min1.png,3,0.0615872567869,0.606526110143,[ 0.77452416 -0.05208333],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,"(0.25, -0.04)",images/min3.png,3,0.0552922850111,0.618062515667,[-0.72327965 -0.22135417],,,2018_Jul_01_1647,60.0878823445,sequenceLearningTask,001,124,
