pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctLocation,correctImage,repetitionNumber,responseTimeIncorrect,trialIncorrect,stimulusPresent.t,responseTimeCorrect,pressLoc,anticipatoryResponse,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,RecordAnswer.rt,correctKey,trialCorrect,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,1,0.80667035887,1,0.076987487264,2.57889928203,[ 0.1515625  -0.62222222],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,1,,,0.0768246152438,0.60905969236,[-0.690625   -0.16944444],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,1,,,0.0774174360558,0.494471794926,[ 0.2515625  -0.24166667],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,,,0.0867881025188,0.432170256274,[-0.2453125  -0.18888889],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,,,0.0614445128012,0.51597497426,[ 0.778125   -0.20833333],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,1,,,0.0653415385168,0.511746461503,[ 0.7265625 -0.05     ],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,1,,,0.0551581538748,0.519883076893,[-0.209375   -0.02222222],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,1,,,0.056307282066,0.464190769242,[ 0.3015625   0.00277778],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,2,,,0.0546358975116,0.552127179457,[ 0.7296875  -0.14722222],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,2,,,0.0629382564221,0.448591999942,[-0.740625   -0.11388889],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
