pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,keyRespCorrect,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,RecordAnswer.rt,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_7'],,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_7'],1,0.0691667692736,1,['num_7'],0,[0.34325743606314063],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_1'],,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_1'],1,0.0565423588268,1,['num_1'],0,[0.3870871795807034],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_4'],1,0.0556422565132,1,['num_4'],0,[0.3388923075981438],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_0'],1,0.0554867691826,1,['num_0'],0,[0.30562625639140606],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_0'],1,0.056393025443,1,['num_0'],0,[0.42106953845359385],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_4'],1,0.0595208203886,1,['num_4'],0,[0.45246235909871757],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_1'],,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_1'],1,0.0512923076749,1,['num_1'],0,[0.37571323080919683],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_0'],1,0.0572348716669,1,['num_0'],0,[0.40425805118866265],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_7'],,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_7'],2,0.0566633846611,0,"['num_4', 'num_7']",0,"[0.3033403076697141, 0.41873312811367214]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_1'],,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_1'],2,0.0507975383662,0,"['num_4', 'num_1']",0,"[0.3100447179749608, 0.6771721024997532]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_4'],2,0.0586744614411,1,['num_4'],0,[0.38609476923011243],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_0'],2,0.0513829742558,1,['num_0'],0,[0.3096447179559618],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_0'],2,0.0558576411568,1,['num_0'],0,[0.4044348718598485],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_4'],2,0.0495286155492,1,['num_4'],0,[0.31183466664515436],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_1'],,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_1'],2,0.0508336408529,1,['num_1'],0,[0.29319384624250233],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,['num_0'],2,0.0582432821393,1,['num_0'],0,[0.319961846107617],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_7'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_7'],3,0.053016615333,1,['num_7'],0,[0.28911261539906263],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_1'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_1'],3,0.0499175384175,1,['num_1'],0,[0.2943528206087649],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_4'],3,0.0460283076391,1,['num_4'],0,[0.26573825627565384],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_0'],3,0.0524795898236,1,['num_0'],0,[0.29199712816625834],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_0'],3,0.091445743572,0,"['num_7', 'num_0']",0,"[0.18573251273483038, 0.45269907684996724]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_4'],3,0.0518211282324,0,"['num_7', 'num_4', 'num_4']",0,"[0.42749292287044227, 2.4422346665523946]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_1'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_1'],3,0.0519922052044,1,['num_1'],0,[0.3926133334171027],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,['num_0'],3,0.0542797949165,1,['num_0'],0,[0.28931241016834974],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_7'],,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_7'],4,0.051194666652,0,"['num_4', 'num_7']",0,"[0.2569284101482481, 0.4740168205462396]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_1'],,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_1'],4,0.0590285127982,1,['num_1'],0,[0.35175712825730443],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_4'],4,0.0546211281326,0,"['num_7', 'num_4']",0,"[0.3730133331846446, 0.6074962050188333]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_0'],4,0.0512205129489,1,['num_0'],0,[0.3758043076377362],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_0'],4,0.0514043075964,1,['num_0'],0,[0.4089932308997959],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_4'],4,0.0510141539853,0,"['num_1', 'num_4']",0,"[0.00032820506021380424, 0.32660594885237515]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
