randomPaw,allowableKey,correctKey,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,date,frameRate,expName,session,participant,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,0,0,0,0,,,,,,,,,1,['1'],0,[0.3360869884490967],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,0,1,1,1,,,,,,,,,1,['2'],0,[0.35224103927612305],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,0,2,2,3,,,,,,,,,1,['4'],0,[0.38015198707580566],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,0,3,3,2,,,,,,,,,1,['3'],0,[0.2952899932861328],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,1,0,4,2,,,,,,,,,1,['3'],0,[0.3439919948577881],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,1,1,5,1,,,,,,,,,1,['2'],0,[0.3294379711151123],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,1,2,6,3,,,,,,,,,1,['4'],0,[0.2471470832824707],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,1,3,7,0,,,,,,,,,1,['1'],0,[0.26251220703125],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,2,0,8,0,,,,,,,,,1,['1'],0,[0.4031789302825928],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,2,1,9,1,,,,,,,,,1,['2'],0,[0.3696279525756836],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
