"participant","date1","stimulusPresent.t","correctKey","keyRespCorrect","correctKeyPressNum","key_resp_9.rt","key_resp_9.keys","trialCorrect","repetitionNumber","anticipatoryResponse","PreTouchByDate","recallResponse","recallResponseTime","RecordAnswer.rt","RecordAnswer.keys","questionsResponses"
6,"2018-03-31",NA,"",NA,"","","",NA,NA,NA,1,"",NA,"","",""
6,"2018-03-31",NA,"",NA,"","","",NA,NA,NA,1,"",NA,"","","['1']"
6,"2018-03-31",NA,"",NA,"","","",NA,NA,NA,1,"",NA,"","","['1']"
6,"2018-03-31",NA,"",NA,"","","",NA,NA,NA,1,"",NA,"","","['1']"
6,"2018-03-31",NA,"",NA,"","","",NA,NA,NA,1,"",NA,"","","['1']"
6,"2018-03-31",NA,"",NA,"","","",NA,NA,NA,1,"",NA,"[3.9451880576089025, 3.9922317885793746, 4.411747619975358, 4.608755781315267, 4.742673839908093, 4.959499043412507, 5.0780254998244345, 5.193325286731124, 5.611967271193862, 5.724796902388334, 5.861089527141303, 6.029584844596684, 6.157641154713929, 6.628146156203002, 6.7417298392392695, 6.878278053831309, 7.111222244799137, 7.277958792168647]","recorder and piano",""
6,"2018-03-31",NA,"['3']",NA,"","","",1,1,NA,1,"['3']",25.0438884459,"","",""
6,"2018-03-31",NA,"['2']",NA,"","","",1,1,NA,1,"['2']",4.96612304915,"","",""
6,"2018-03-31",NA,"['4']",NA,"","","",1,1,NA,1,"['4']",4.44892344531,"","",""
6,"2018-03-31",NA,"['4']",NA,"","","",0,1,NA,1,"['1']",4.24901887123,"","",""
6,"2018-03-31",NA,"['2']",NA,"","","",1,1,NA,1,"['2']",7.06549954088,"","",""
6,"2018-03-31",NA,"['3']",NA,"","","",1,1,NA,1,"['3']",3.06525092525,"","",""
6,"2018-03-31",NA,"['4']",NA,"","","",0,1,NA,1,"['1']",2.83276211936,"","",""
6,"2018-03-31",NA,"['2']",NA,"","","",0,1,NA,1,"['3']",3.71511976654,"","",""
6,"2018-03-31",NA,"['1']",NA,"","","",0,1,NA,1,"['4']",4.2985622962,"","",""
6,"2018-03-31",NA,"['1']",NA,"","","",1,1,NA,1,"['1']",12.5172110908,"","",""
6,"2018-03-31",NA,"['3']",NA,"","","",1,1,NA,1,"['3']",8.49583097082,"","",""
51,"2018-04-03",NA,"",NA,"","","",NA,NA,NA,1,"",NA,NA,NA,""
51,"2018-04-03",NA,"",NA,"","","",NA,NA,NA,1,"",NA,NA,NA,"['1']"
51,"2018-04-03",NA,"",NA,"","","",NA,NA,NA,1,"",NA,NA,NA,"['2']"
51,"2018-04-03",NA,"",NA,"","","",NA,NA,NA,1,"",NA,NA,NA,"['2']"
51,"2018-04-03",NA,"",NA,"","","",NA,NA,NA,1,"",NA,NA,NA,"['2']"
51,"2018-04-03",NA,"",NA,"","","",NA,NA,NA,1,"",NA,NA,NA,""
51,"2018-04-03",NA,"['3']",NA,"","","",1,1,NA,1,"['3']",7.32923213507,NA,NA,""
51,"2018-04-03",NA,"['2']",NA,"","","",0,1,NA,1,"['4']",7.58234116199,NA,NA,""
51,"2018-04-03",NA,"['4']",NA,"","","",1,1,NA,1,"['4']",4.98270932624,NA,NA,""
